,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
8495,21,0,19,0,0,0,0,0,0,99,0,0,0,10,0,0,0,290,0,2,6,0,3,0,4,0,1,2,8,0,0,0,0,0,0,0,0,0,0,10,0,0,132
1528,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0
590,1,32,0,87,0,0,0,21,0,8,16,0,147,0,271,0,0,0,28,1,0,0,1,4,2,0,1,0,0,10,3,0,0,31,0,24,28,1,91,1,1,0,16
7122,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
10076,0,0,0,23,0,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0
1941,0,19,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,155,24,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,24,1,0,0,2,0,0
6195,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4116,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0
6668,0,0,0,0,0,6,37,0,0,0,0,2,0,0,0,103,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4120,0,0,0,0,43,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0
7175,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7123,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
11490,0,0,0,0,88,20,75,0,112,0,0,14,0,0,0,262,2,0,0,0,200,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,264,0
1054,0,39,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,0,0,0,4,0,0,0,2,0,6,0,0,0,15,1,0,24,1,0,0,2,0,0
